         2636495 function calls (2508677 primitive calls) in 34.254 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.021    0.021   33.182   33.182 /Users/dleonenko/gym-narde/muzero/training.py:89(self_play_game)
      230    5.582    0.024   33.054    0.144 /Users/dleonenko/gym-narde/muzero/mcts.py:60(run)
    86352   18.883    0.000   18.883    0.000 {method 'item' of 'torch._C.TensorBase' objects}
    11730    0.278    0.000   14.278    0.001 /Users/dleonenko/gym-narde/muzero/mcts.py:250(expand_node)
     1610    4.174    0.003    6.998    0.004 /Users/dleonenko/gym-narde/muzero/models.py:186(recurrent_inference_batch)
54375/3702    0.044    0.000    3.285    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/nn/modules/module.py:1735(_wrapped_call_impl)
54375/3702    0.067    0.000    3.277    0.001 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/nn/modules/module.py:1743(_call_impl)
    25/15    0.000    0.000    3.200    0.213 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/_ops.py:291(fallthrough)
     7173    0.043    0.000    3.024    0.000 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/nn/modules/container.py:248(forward)
    12726    0.010    0.000    1.688    0.000 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/nn/modules/normalization.py:216(forward)
    12726    0.016    0.000    1.672    0.000 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/nn/functional.py:2889(layer_norm)
     1620    0.006    0.000    1.660    0.001 /Users/dleonenko/gym-narde/muzero/models.py:69(forward)
    12726    1.648    0.000    1.648    0.000 {built-in method torch.layer_norm}
    25/20    0.000    0.000    1.469    0.073 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/_ops.py:279(py_impl)
     1851    0.004    0.000    1.342    0.001 /Users/dleonenko/gym-narde/muzero/models.py:111(forward)
        3    0.000    0.000    0.976    0.325 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/_ops.py:147(py_functionalize_impl)
    18048    0.012    0.000    0.938    0.000 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/nn/modules/linear.py:124(forward)
    18048    0.917    0.000    0.917    0.000 {built-in method torch._C._nn.linear}
    11731    0.608    0.000    0.608    0.000 {built-in method torch.softmax}
        3    0.000    0.000    0.492    0.164 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/_ops.py:251(__init__)
        1    0.000    0.000    0.482    0.482 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/_higher_order_ops/triton_kernel_wrap.py:650(__init__)
        1    0.000    0.000    0.471    0.471 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/distributed/fsdp/__init__.py:1(<module>)
      231    0.001    0.000    0.450    0.002 /Users/dleonenko/gym-narde/muzero/models.py:133(initial_inference)
       17    0.001    0.000    0.364    0.021 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/_prims/__init__.py:355(<genexpr>)
        7    0.000    0.000    0.340    0.049 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/_inductor/inductor_prims.py:14(make_prim)
        7    0.000    0.000    0.339    0.048 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/_prims/__init__.py:266(_make_prim)
        1    0.000    0.000    0.322    0.322 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/_dynamo/exc.py:1(<module>)
    10875    0.006    0.000    0.321    0.000 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/nn/modules/activation.py:132(forward)
        1    0.000    0.000    0.320    0.320 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/_dynamo/utils.py:1(<module>)
    10875    0.007    0.000    0.315    0.000 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/nn/functional.py:1693(relu)
   2720/9    0.001    0.000    0.308    0.034 /opt/homebrew/Cellar/python@3.13/3.13.1/Frameworks/Python.framework/Versions/3.13/lib/python3.13/importlib/__init__.py:71(import_module)
   2752/9    0.001    0.000    0.308    0.034 <frozen importlib._bootstrap>:1375(_gcd_import)
    10875    0.306    0.000    0.306    0.000 {built-in method torch.relu}
2791/2627    0.002    0.000    0.302    0.000 {built-in method builtins.any}
        1    0.000    0.000    0.293    0.293 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/fx/experimental/symbolic_shapes.py:1(<module>)
        8    0.000    0.000    0.284    0.036 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/_library/custom_ops.py:117(inner)
        1    0.000    0.000    0.277    0.277 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/torch/utils/_sympy/functions.py:1(<module>)
        1    0.000    0.000    0.270    0.270 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/sympy/__init__.py:1(<module>)
      231    0.000    0.000    0.259    0.001 /Users/dleonenko/gym-narde/muzero/models.py:30(forward)
     1142    0.004    0.000    0.253    0.000 <frozen importlib._bootstrap_external>:1093(get_code)
        1    0.000    0.000    0.247    0.247 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/gymnasium/envs/registration.py:648(make)
        1    0.000    0.000    0.246    0.246 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/gymnasium/envs/registration.py:541(load_env_creator)
   3937/1    0.005    0.000    0.246    0.246 <frozen importlib._bootstrap>:1349(_find_and_load)
   1271/1    0.003    0.000    0.246    0.246 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
   1149/1    0.002    0.000    0.246    0.246 <frozen importlib._bootstrap>:911(_load_unlocked)
   1125/1    0.002    0.000    0.246    0.246 <frozen importlib._bootstrap_external>:1020(exec_module)
   2803/3    0.002    0.000    0.246    0.082 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
   1479/1    0.062    0.000    0.246    0.246 {built-in method builtins.exec}
        1    0.000    0.000    0.246    0.246 /Users/dleonenko/gym-narde/gym_narde/envs/__init__.py:1(<module>)
        1    0.000    0.000    0.245    0.245 /Users/dleonenko/gym-narde/gym_narde/envs/narde_env_jax.py:1(<module>)
        1    0.000    0.000    0.244    0.244 /Users/dleonenko/gym-narde/venv/lib/python3.13/site-packages/jax/__init__.py:1(<module>)
